height	rank	name
-7.1798	1	EM-2
-6.6332	2	LAMA-84
-6.0867	3	K-562
-5.6300	4	EoL-1-cell
-4.6665	5	MEG-01
-4.1639	6	BV-173
-1.4502	7	BE-13
0.0314	8	CGTH-W-1
0.2167	9	GDM-1
0.6171	10	NOS-1
0.7824	11	KU812
1.5496	12	KASUMI-1
1.6767	13	LB2241-RCC
1.8565	14	NKM-1
1.9040	15	NCI-H1703
1.9502	16	BHT-101
2.0547	17	A204
2.1222	18	G-402
2.1457	19	CTV-1
2.2489	20	ALL-PO
2.4515	21	MIA-PaCa-2
2.4627	22	NCI-H716
2.6258	23	T98G
2.6672	24	MV-4-11
2.6875	25	GR-ST
2.7865	26	RS4-11
2.8337	27	ST486
2.9931	28	697
3.0011	29	MZ2-MEL
3.0077	30	ECC10
3.0761	31	HOS
3.1191	32	A4-Fuk
3.1355	33	8505C
3.1376	34	BCPAP
3.1511	35	YT
3.1574	36	LXF-289
3.1907	37	MPP-89
3.2618	38	D-566MG
3.2881	39	CPC-N
3.2882	40	ACHN
3.2912	41	SK-PN-DW
3.3294	42	NCI-H1436
3.3301	43	HT-1080
3.3403	44	MHH-ES-1
3.3525	45	CHP-212
3.4035	46	TE-441-T
3.4390	47	LB1047-RCC
3.4452	48	HT-29
3.4545	49	SKM-1
3.4778	50	A101D
3.4833	51	NBsusSR
3.5044	52	SK-MEL-24
3.5397	53	LB771-HNC
3.5408	54	HAL-01
3.5583	55	NCI-N87
3.5627	56	Ca-Ski
3.5882	57	BL-70
3.6163	58	HMV-II
3.6233	59	Ramos-2G6-4C10
3.6567	60	MONO-MAC-6
3.6588	61	GI-1
3.6606	62	KMOE-2
3.6721	63	NOMO-1
3.6723	64	PFSK-1
3.7115	65	KYSE-520
3.7332	66	CAL-85-1
3.7586	67	BB65-RCC
3.7614	68	MLMA
3.7991	69	D-423MG
3.8013	70	ES5
3.8017	71	HCC2157
3.8107	72	RVH-421
3.8120	73	CAL-33
3.8130	74	EW-18
3.8177	75	RXF393
3.8522	76	EW-13
3.8589	77	A375
3.8645	78	TE-11
3.8858	79	NCI-H1648
3.9085	80	SK-NEP-1
3.9141	81	HLE
3.9163	82	HTC-C3
3.9429	83	HL-60
3.9448	84	OVCAR-4
3.9551	85	YH-13
3.9802	86	SK-MG-1
3.9885	87	CAL-62
3.9922	88	HEC-1
4.0015	89	COLO-679
4.0188	90	NUGC-3
4.0220	91	C32
4.0537	92	HuO9
4.0660	93	ES7
4.0731	94	LC-2-ad
4.0912	95	769-P
4.0928	96	CCRF-CEM
4.0958	97	CRO-AP2
4.0978	98	KYSE-150
4.1122	99	NCI-H1993
4.1175	100	WM-115
4.1375	101	C2BBe1
4.1388	102	TE-1
4.1404	103	A704
4.2214	104	COLO-668
4.2626	105	TE-8
4.2635	106	MOLT-13
4.2714	107	RPMI-8866
4.2721	108	NCI-H2342
4.2749	109	HCC70
4.2772	110	GI-ME-N
4.2889	111	DBTRG-05MG
4.2963	112	DOK
4.3255	113	NTERA-S-cl-D1
4.3320	114	SK-MEL-5
4.3469	115	H4
4.3489	116	IST-MES1
4.3514	117	LU-135
4.3535	118	NCI-H1755
4.3575	119	TGBC24TKB
4.3577	120	PC-3
4.3601	121	NCI-H28
4.3834	122	SW954
4.3881	123	A427
4.4021	124	OS-RC-2
4.4165	125	IST-SL2
4.4210	126	NCI-H2228
4.4233	127	SW1573
