height	rank	name
0.136573295	1	NCI-H2122
0.13937079	2	IGR-37
0.164886089	3	SK-N-FI
0.179975079	4	SU-DHL-10
0.194509948	5	AMO-1
0.24403888	6	LP-1
0.246601477	7	KHM-1B
0.279543102	8	KMS-11
0.306566536	9	F-36P
0.309648394	10	MB 157
0.331311166	11	MOLP-8
0.334254905	12	NCI-H1341
0.356509245	13	SU-DHL-8
0.398662927	14	SU-DHL-6
0.432746449	15	Capan-2
0.458457559	16	SIMA
0.482534881	17	KMRC-2
0.484309763	18	KMS-34
0.515746772	19	KARPAS-620
0.539358318	20	LS513
0.598104239	21	L-363
0.645289063	22	SIG-M5
0.651424348	23	KMS-26
0.663455608	24	ZR-75-1
0.687492132	25	SW48
0.716056585	26	MCF7
0.795476556	27	CAL-12T
0.816009998	28	VMRC-RCW
0.850266755	29	SK-N-SH
0.851508498	30	DMS 114
0.870741844	31	SK-ES-1
0.932404697	32	Hs 852.T
0.986451328	33	RT-112
1.014342308	34	NCI-H727
1.030234575	35	KP-N-SI9s
1.127677202	36	A-673
1.152510881	37	AZ-521
1.165132165	38	NCI-H661
1.220665687	39	DOHH-2
1.238248587	40	OCI-AML5
1.257513762	41	KYSE-70
1.299999714	42	SK-N-DZ
1.314902544	43	FU-OV-1
1.376474261	44	HT-29
1.387827429	45	HUP-T4
1.40566361	46	KMM-1
1.411224127	47	G-401
1.415435689	48	HPAF-II
1.427774787	49	AsPC-1
1.434306904	50	LUDLU-1
1.44956553	51	MONO-MAC-1
1.450278282	52	COLO-320
1.557569027	53	WM-983B
1.560035467	54	CHP-212
1.58294487	55	NCI-H211
1.640427891	56	NCO2
1.66758883	57	huH-1
1.708191752	58	RERF-GC-1B
1.736181378	59	639-V
1.767559767	60	KCI-MOH1
1.773543596	61	SW620
1.775179029	62	MHH-ES-1
1.806263089	63	JHH-7
1.822629352	64	HuT 78
1.954786897	65	A549
1.963032126	66	KYSE-140
1.964178443	67	SK-MES-1
1.975981355	68	LU99
