height	rank	name
-0.9013	1	MV-4-11
-0.33151	2	Daoy
-0.12133	3	BFTC-905
-0.08086	4	KM12
-0.06428	5	GDM-1
0.01372	6	RT-112
0.08317	7	MONO-MAC-6
0.13185	8	HUTU-80
0.13434	9	HGC-27
0.15657	10	LCLC-97TM1
0.16879	11	LXF-289
0.17774	12	HLE
0.22863	13	RKO
0.29351	14	SNG-M
0.29884	15	MCF7
0.31005	16	A431
0.31325	17	BC-3
0.31463	18	A427
0.32831	19	SW620
0.32901	20	NCI-H650
0.33984	21	HOS
0.34324	22	MFH-ino
0.34442	23	TE-12
0.36171	24	KYSE-180
0.37015	25	CGTH-W-1
0.37831	26	KYSE-510
0.39096	27	PSN1
0.39132	28	KU812
0.39211	29	NCI-H2342
0.40995	30	EPLC-272H
0.42333	31	BB30-HNC
0.44059	32	KYSE-270
0.46148	33	BC-1
0.47622	34	TE-15
0.47865	35	T84
0.49682	36	SW1710
0.49881	37	CAL-12T
0.50899	38	NKM-1
0.51282	39	OCUB-M
0.51658	40	LU-135
0.54066	41	786-0
0.55195	42	EW-13
0.58267	43	5637
0.60167	44	PA-1
0.60199	45	NCI-H2122
0.61254	46	NCI-H460
0.62596	47	CHL-1
0.63327	48	NTERA-S-cl-D1
0.64446	49	HCT-15
0.65658	50	G-361
0.66164	51	NCI-H2009
0.68073	52	GAMG
0.68142	53	LCLC-103H
0.68947	54	SK-LU-1
0.70074	55	ES4
0.70748	56	TE-8
0.70765	57	IA-LM
0.71022	58	ONS-76
0.72152	59	IGR-1
0.73987	60	KP-N-YS
0.74778	61	SW954
0.76746	62	NCI-H2228
0.77045	63	TUR
0.77294	64	MEL-JUSO
0.78023	65	COR-L23
0.78082	66	CAL-62
0.78768	67	IST-SL2
0.79248	68	SIG-M5
0.79353	69	769-P
0.79662	70	BHY
0.80158	71	OE33
0.81521	72	DEL
0.82157	73	639-V
0.8233	74	KP-4
0.82966	75	A375
0.8304	76	MEG-01
0.83394	77	COLO-679
0.83696	78	CAL-27
0.83917	79	CAL-51
0.84166	80	SK-LMS-1
0.85186	81	HT-1080
0.85828	82	MES-SA
0.86142	83	KYSE-450
0.87255	84	ALL-PO
0.87441	85	EW-16
0.893	86	GB-1
0.89476	87	NCI-H1299
0.89928	88	NCI-H526
0.9067	89	NCI-H1437
0.91256	90	LB1047-RCC
0.91316	91	P30-OHK
0.91628	92	NCI-H358
0.92358	93	SK-HEP-1
0.93964	94	LU-134-A
0.94233	95	ABC-1
0.94466	96	MZ2-MEL
0.97549	97	CFPAC-1
0.97686	98	MRK-nu-1
0.97734	99	H9
0.97905	100	MIA-PaCa-2
0.98244	101	ES8
0.99186	102	HT-29
1.0005	103	YKG-1
1.0083	104	HMV-II
1.0136	105	HCE-4
1.0139	106	SF295
1.0141	107	A388
1.0178	108	AN3-CA
1.0186	109	NCI-H69
1.0229	110	RH-1
1.026	111	8505C
1.0356	112	LB647-SCLC
1.0381	113	SK-MEL-30
1.0455	114	KYSE-140
1.052	115	J82
1.0554	116	CMK
1.0703	117	HuP-T4
1.0718	118	C-33-A
1.0738	119	AGS
1.0802	120	ES6
1.0809	121	NCI-H1048
1.0874	122	QIMR-WIL
1.0876	123	SF126
1.0966	124	RS4-11
1.0984	125	BV-173
1.1011	126	VA-ES-BJ
1.1061	127	G-402
1.1089	128	MKN1
1.1091	129	IMR-5
1.1135	130	MPP-89
1.1136	131	A101D
1.1158	132	CAL-39
