The Assemble Results relative to 45270897,644241
CCLE Name	Score
EM-2	-7.1798	
LAMA-84	-6.6332	
K-562	-6.0867	
EoL-1-cell	-5.6300	
MEG-01	-4.6665	
BV-173	-4.1639	
BE-13	-1.4502	
CGTH-W-1	0.0314	
GDM-1	0.2167	
NOS-1	0.6171	
KU812	0.7824	
KASUMI-1	1.5496	
LB2241-RCC	1.6767	
NKM-1	1.8565	
NCI-H1703	1.9040	
BHT-101	1.9502	
A204	2.0547	
G-402	2.1222	
CTV-1	2.1457	
ALL-PO	2.2489	
MIA-PaCa-2	2.4515	
NCI-H716	2.4627	
T98G	2.6258	
MV-4-11	2.6672	
GR-ST	2.6875	
RS4-11	2.7865	
ST486	2.8337	
697	2.9931	
MZ2-MEL	3.0011	
ECC10	3.0077	
HOS	3.0761	
A4-Fuk	3.1191	
8505C	3.1355	
BCPAP	3.1376	
YT	3.1511	
LXF-289	3.1574	
MPP-89	3.1907	
D-566MG	3.2618	
CPC-N	3.2881	
ACHN	3.2882	
SK-PN-DW	3.2912	
NCI-H1436	3.3294	
HT-1080	3.3301	
MHH-ES-1	3.3403	
CHP-212	3.3525	
TE-441-T	3.4035	
LB1047-RCC	3.4390	
HT-29	3.4452	
SKM-1	3.4545	
A101D	3.4778	
NBsusSR	3.4833	
SK-MEL-24	3.5044	
LB771-HNC	3.5397	
HAL-01	3.5408	
NCI-N87	3.5583	
Ca-Ski	3.5627	
BL-70	3.5882	
HMV-II	3.6163	
Ramos-2G6-4C10	3.6233	
MONO-MAC-6	3.6567	
GI-1	3.6588	
KMOE-2	3.6606	
NOMO-1	3.6721	
PFSK-1	3.6723	
KYSE-520	3.7115	
CAL-85-1	3.7332	
BB65-RCC	3.7586	
MLMA	3.7614	
D-423MG	3.7991	
ES5	3.8013	
HCC2157	3.8017	
RVH-421	3.8107	
CAL-33	3.8120	
EW-18	3.8130	
RXF393	3.8177	
EW-13	3.8522	
A375	3.8589	
TE-11	3.8645	
NCI-H1648	3.8858	
SK-NEP-1	3.9085	
HLE	3.9141	
HTC-C3	3.9163	
HL-60	3.9429	
OVCAR-4	3.9448	
YH-13	3.9551	
SK-MG-1	3.9802	
CAL-62	3.9885	
HEC-1	3.9922	
COLO-679	4.0015	
NUGC-3	4.0188	
C32	4.0220	
HuO9	4.0537	
ES7	4.0660	
LC-2-ad	4.0731	
769-P	4.0912	
CCRF-CEM	4.0928	
CRO-AP2	4.0958	
KYSE-150	4.0978	
NCI-H1993	4.1122	
WM-115	4.1175	
C2BBe1	4.1375	
TE-1	4.1388	
A704	4.1404	
COLO-668	4.2214	
TE-8	4.2626	
MOLT-13	4.2635	
RPMI-8866	4.2714	
NCI-H2342	4.2721	
HCC70	4.2749	
GI-ME-N	4.2772	
DBTRG-05MG	4.2889	
DOK	4.2963	
NTERA-S-cl-D1	4.3255	
SK-MEL-5	4.3320	
H4	4.3469	
IST-MES1	4.3489	
LU-135	4.3514	
NCI-H1755	4.3535	
TGBC24TKB	4.3575	
PC-3	4.3577	
NCI-H28	4.3601	
SW954	4.3834	
A427	4.3881	
OS-RC-2	4.4021	
IST-SL2	4.4165	
NCI-H2228	4.4210	
SW1573	4.4233	
DU-4475	4.4336	
ETK-1	4.4467	
NCI-H292	4.4468	
VA-ES-BJ	4.4552	
KS-1	4.4871	
NCI-H2029	4.4962	
DSH1	4.4977	
EW-16	4.5080	
NCI-H1618	4.5137	
TI-73	4.5165	
NCI-H630	4.5196	
NCI-H1792	4.5197	
NMC-G1	4.5279	
DB	4.5295	
MZ1-PC	4.5300	
KALS-1	4.5326	
JVM-3	4.5375	
SF295	4.5385	
ML-2	4.5390	
SF126	4.5432	
RPMI-8226	4.5462	
VM-CUB-1	4.5463	
D-336MG	4.5496	
CAL-27	4.5569	
CTB-1	4.5585	
RD	4.5822	
ES1	4.5836	
Calu-1	4.5849	
H-EMC-SS	4.5857	
D-392MG	4.5914	
COLO-205	4.5915	
CHP-134	4.5941	
SIG-M5	4.5965	
DU-145	4.5982	
CAKI-1	4.6018	
SF268	4.6083	
HCT-116	4.6131	
MFE-296	4.6210	
RKO	4.6235	
HCC1419	4.6287	
HC-1	4.6362	
GAMG	4.6503	
KYSE-180	4.6513	
SCC-4	4.6614	
TE-12	4.6665	
HDLM-2	4.6683	
MOLT-4	4.6715	
NCI-H719	4.6717	
BFTC-905	4.6761	
SW1116	4.6789	
DK-MG	4.6989	
NCI-H358	4.7007	
SK-LU-1	4.7016	
ChaGo-K-1	4.7048	
GP5d	4.7078	
DoTc2-4510	4.7133	
SK-MEL-3	4.7153	
NCI-H82	4.7224	
ES6	4.7227	
KOSC-2	4.7285	
KNS-62	4.7304	
MOLT-16	4.7447	
RT-112	4.7459	
LB647-SCLC	4.7506	
HSC-3	4.7533	
ES4	4.7585	
J82	4.7599	
NCI-H661	4.7629	
NCI-H1693	4.7666	
G-401	4.7788	
KARPAS-45	4.7888	
KYSE-140	4.7920	
NCI-H2122	4.7923	
HT-144	4.8022	
BB30-HNC	4.8075	
NCI-H522	4.8121	
JVM-2	4.8197	
HCC1937	4.8288	
SK-UT-1	4.8319	
NCI-H2405	4.8405	
MHH-PREB-1	4.8428	
RT4	4.8437	
WSU-NHL	4.8534	
LB831-BLC	4.8545	
HT-3	4.8547	
HT-1376	4.8556	
L-363	4.8583	
SCLC-21H	4.8620	
CAL-72	4.8687	
HGC-27	4.8858	
YKG-1	4.8859	
NCI-H1355	4.8894	
MG-63	4.8915	
no-11	4.8969	
TE-10	4.8997	
GOTO	4.9086	
NCI-H727	4.9106	
ECC12	4.9125	
GB-1	4.9155	
SNU-423	4.9201	
U-698-M	4.9220	
SNG-M	4.9236	
PSN1	4.9263	
ES8	4.9289	
SW872	4.9358	
MMAC-SF	4.9397	
SK-N-DZ	4.9505	
L-540	4.9544	
HUTU-80	4.9559	
RL95-2	4.9574	
KINGS-1	4.9617	
TE-5	4.9618	
639-V	4.9622	
SK-MEL-2	4.9626	
SNB75	4.9640	
KP-N-RT-BM-1	4.9687	
LCLC-97TM1	4.9691	
T-24	4.9697	
HuO-3N1	4.9737	
IA-LM	4.9768	
A388	4.9910	
CP67-MEL	4.9914	
NCI-H1975	4.9942	
NCI-H2030	5.0015	
LOXIMVI	5.0072	
LU-139	5.0134	
NCI-H128	5.0181	
ONS-76	5.0191	
MEL-JUSO	5.0195	
DOHH-2	5.0215	
SUP-T1	5.0244	
BOKU	5.0283	
A498	5.0329	
Hs-578-T	5.0338	
NCI-H209	5.0356	
SBC-5	5.0389	
AN3-CA	5.0465	
NB7	5.0475	
HCC1395	5.0486	
SK-N-AS	5.0530	
SW837	5.0540	
BT-549	5.0575	
Becker	5.0620	
HH	5.0620	
SW962	5.0631	
CAPAN-1	5.0657	
HOP-62	5.0720	
SH-4	5.0745	
U-118-MG	5.0844	
NCI-H1650	5.0862	
ME-180	5.0907	
NCI-H2009	5.0925	
MDA-MB-231	5.1074	
NCI-H1770	5.1142	
KP-4	5.1189	
CAMA-1	5.1225	
NCI-H250	5.1246	
BB49-HNC	5.1311	
GCIY	5.1332	
TE-15	5.1425	
D-263MG	5.1526	
EW-11	5.1526	
COR-L88	5.1532	
NCI-H378	5.1547	
CFPAC-1	5.1592	
RH-1	5.1595	
A2780	5.1649	
CCF-STTG1	5.1655	
HCC1806	5.1703	
CP50-MEL-B	5.1753	
SK-MEL-28	5.1776	
D-542MG	5.1945	
CHP-126	5.1961	
LoVo	5.1985	
MS-1	5.2014	
CAL-39	5.2066	
OCUB-M	5.2089	
MCF7	5.2161	
EW-1	5.2180	
NCI-H1092	5.2182	
UACC-812	5.2182	
BPH-1	5.2182	
OAW-42	5.2240	
SNU-C1	5.2244	
IST-MEL1	5.2247	
SR	5.2325	
COLO-800	5.2411	
LS-123	5.2466	
BFTC-909	5.2466	
ECC4	5.2484	
SNU-475	5.2490	
CAL-12T	5.2494	
NY	5.2511	
REH	5.2558	
HuH-7	5.2563	
LB2518-MEL	5.2567	
ES3	5.2599	
NB17	5.2608	
MKN28	5.2617	
PANC-08-13	5.2694	
8-MG-BA	5.2732	
MFH-ino	5.2753	
U-2-OS	5.2804	
TT	5.2823	
MRK-nu-1	5.2986	
LU-134-A	5.3033	
HCE-4	5.3044	
LB996-RCC	5.3084	
ABC-1	5.3089	
NCI-H747	5.3106	
LC4-1	5.3141	
KYSE-410	5.3185	
KG-1	5.3213	
LCLC-103H	5.3320	
Detroit562	5.3342	
SJSA-1	5.3365	
BxPC-3	5.3460	
SNU-387	5.3558	
NALM-6	5.3647	
SW948	5.3674	
S-117	5.3684	
NCI-H1651	5.3712	
SW1990	5.3715	
GCT	5.3723	
KYSE-510	5.3736	
COR-L105	5.3743	
LU-99A	5.3754	
MZ7-mel	5.3763	
HCC1599	5.3802	
Daoy	5.3827	
NCI-H1304	5.3839	
SK-MES-1	5.3868	
SW1088	5.3923	
MDA-MB-468	5.3935	
MDA-MB-361	5.4017	
HuCCT1	5.4024	
SW1710	5.4062	
EW-7	5.4213	
NB10	5.4285	
D-247MG	5.4373	
HCC2998	5.4406	
BEN	5.4412	
CAL-51	5.4435	
KYSE-270	5.4490	
SW1463	5.4502	
COLO-829	5.4511	
TYK-nu	5.4526	
MKN45	5.4570	
MHH-CALL-2	5.4600	
MC-IXC	5.4683	
KURAMOCHI	5.4690	
A431	5.4790	
NB69	5.4854	
SW13	5.4886	
KP-N-YS	5.4893	
K5	5.4908	
U-266	5.4930	
A673	5.5002	
SNU-449	5.5055	
PANC-03-27	5.5079	
COLO-792	5.5080	
HPAF-II	5.5083	
Mo-T	5.5103	
NCI-H1155	5.5104	
UM-UC-3	5.5110	
NB14	5.5131	
NCI-H650	5.5157	
A172	5.5165	
NCI-H810	5.5232	
Daudi	5.5278	
786-0	5.5283	
TC-YIK	5.5305	
DJM-1	5.5316	
NCI-H2170	5.5385	
TGBC1TKB	5.5406	
PC-14	5.5443	
HSC-4	5.5466	
HN	5.5500	
ATN-1	5.5517	
A549	5.5524	
DMS-153	5.5542	
5637	5.5543	
SW982	5.5582	
NCI-H2171	5.5587	
DMS-273	5.5657	
HD-MY-Z	5.5711	
EFO-27	5.5737	
NCI-H2141	5.5783	
KYSE-70	5.5792	
AU565	5.5796	
RPMI-7951	5.5796	
BL-41	5.5802	
M059J	5.5864	
TK10	5.5937	
SAS	5.5967	
BHY	5.6040	
NCI-H1573	5.6066	
CP66-MEL	5.6160	
TALL-1	5.6171	
SW626	5.6182	
NCI-H2052	5.6208	
TCCSUP	5.6211	
CHL-1	5.6260	
NCI-H838	5.6264	
KP-N-YN	5.6266	
A2058	5.6294	
LS-411N	5.6295	
COLO-320-HSR	5.6368	
RH-18	5.6384	
MDA-MB-134-VI	5.6393	
Saos-2	5.6394	
EHEB	5.6442	
SCC-15	5.6481	
SJRH30	5.6485	
MKN1	5.6520	
NCI-H1437	5.6547	
RPMI-6666	5.6598	
NCI-H2452	5.6613	
J-RT3-T3-5	5.6624	
U251	5.6643	
K052	5.6674	
SK-CO-1	5.6676	
RPMI-2650	5.6704	
LS-1034	5.6808	
Calu-6	5.6893	
GT3TKB	5.6940	
NCI-H526	5.6956	
IMR-5	5.7051	
AsPC-1	5.7069	
COLO-741	5.7078	
SW900	5.7079	
T84	5.7166	
NCI-H23	5.7195	
8305C	5.7220	
NB13	5.7244	
NEC8	5.7245	
NCI-H1299	5.7276	
no-10	5.7280	
SU-DHL-1	5.7309	
CAL-120	5.7333	
UACC-62	5.7336	
RCC10RGB	5.7438	
KGN	5.7440	
SIMA	5.7482	
HEL	5.7493	
NCI-H2081	5.7580	
U031	5.7669	
PANC-10-05	5.7694	
NCI-H1581	5.7704	
NCI-H2087	5.7712	
BC-3	5.7714	
OE19	5.7724	
NCI-H2126	5.7726	
C-33-A	5.7747	
P30-OHK	5.7782	
EKVX	5.7782	
MKN7	5.7784	
UACC-257	5.7824	
OAW-28	5.7843	
LC-1F	5.7856	
KLE	5.7927	
SK-HEP-1	5.7969	
NCI-H748	5.7995	
SF539	5.8043	
UACC-893	5.8175	
HCC1569	5.8195	
NB6	5.8198	
DV-90	5.8200	
OVCAR-8	5.8283	
CMK	5.8325	
AM-38	5.8398	
SK-LMS-1	5.8405	
TE-6	5.8440	
SN12C	5.8471	
OE33	5.8492	
NCI-SNU-16	5.8531	
JiyoyeP-2003	5.8537	
OVCAR-3	5.8548	
HOP-92	5.8630	
22RV1	5.8662	
MHH-NB-11	5.8680	
COR-L23	5.8702	
CAL-54	5.8735	
SW780	5.8758	
SK-OV-3	5.8782	
SW48	5.8831	
COLO-684	5.8857	
HT-1197	5.8879	
NCI-H524	5.8918	
NCI-H1793	5.8935	
RCM-1	5.8941	
CAS-1	5.9007	
LS-513	5.9038	
VMRC-RCZ	5.9039	
QIMR-WIL	5.9080	
RO82-W-1	5.9110	
DMS-53	5.9170	
HSC-2	5.9174	
NCI-H1694	5.9190	
ESS-1	5.9232	
KYSE-450	5.9251	
SW1417	5.9272	
NCI-H1734	5.9289	
LN-405	5.9361	
IGR-1	5.9363	
COLO-680N	5.9374	
G-361	5.9388	
EFE-184	5.9394	
EGI-1	5.9531	
ZR-75-30	5.9545	
BT-20	5.9588	
MDA-MB-157	5.9605	
NCI-H2196	5.9651	
TGW	5.9684	
MFE-280	5.9714	
HO-1-N-1	5.9746	
EW-3	5.9767	
PA-1	5.9789	
SK-N-FI	5.9823	
PLC-PRF-5	5.9833	
HCC1143	5.9851	
A3-KAW	5.9866	
AGS	5.9891	
HCC1954	5.9957	
KNS-42	6.0045	
Caov-3	6.0048	
SW756	6.0073	
SW620	6.0120	
OMC-1	6.0144	
NCI-H510A	6.0284	
KM12	6.0316	
NCI-H720	6.0369	
LNCaP-Clone-FGC	6.0376	
SNU-C2B	6.0414	
KARPAS-299	6.0423	
DG-75	6.0451	
HT55	6.0486	
NCI-H2107	6.0499	
MSTO-211H	6.0531	
FTC-133	6.0574	
Ca9-22	6.0595	
NCI-H1838	6.0611	
NCI-H441	6.0715	
NB1	6.0740	
UMC-11	6.0750	
MDA-MB-453	6.0757	
EW-22	6.0769	
OVCAR-5	6.0777	
SW684	6.0821	
SBC-1	6.0831	
HuP-T4	6.0831	
Capan-2	6.0844	
IST-SL1	6.0893	
KARPAS-422	6.0899	
YAPC	6.0922	
Mewo	6.0995	
CaR-1	6.1010	
LK-2	6.1023	
NB5	6.1028	
TE-9	6.1037	
BALL-1	6.1073	
MES-SA	6.1118	
C3A	6.1137	
KNS-81-FD	6.1139	
COLO-678	6.1150	
MEL-HO	6.1166	
SK-MEL-30	6.1219	
NCI-H2347	6.1295	
EVSA-T	6.1295	
NCI-H226	6.1309	
M14	6.1524	
NCI-SNU-1	6.1604	
ACN	6.1663	
EPLC-272H	6.1690	
RMG-I	6.1733	
NB12	6.1734	
MC116	6.1738	
D-502MG	6.1791	
TUR	6.1831	
NCI-H460	6.1854	
Calu-3	6.1878	
OPM-2	6.1952	
D-283MED	6.1966	
SCC-25	6.1981	
KE-37	6.2002	
MDA-MB-175-VII	6.2065	
EFM-19	6.2088	
BC-1	6.2134	
HuP-T3	6.2170	
RERF-LC-MS	6.2186	
RPMI-8402	6.2220	
SK-MM-2	6.2429	
COLO-824	6.2449	
MDA-MB-415	6.2481	
SW1783	6.2552	
SiHa	6.2655	
JAR	6.2666	
SK-MEL-1	6.2682	
NCI-H322M	6.2692	
Caov-4	6.2787	
KM-H2	6.2802	
LAN-6	6.2858	
NCI-H1563	6.2863	
JEG-3	6.2867	
FADU	6.3074	
KU-19-19	6.3113	
EW-12	6.3216	
ARH-77	6.3226	
