The Similar chemicals with 53494876
ID	Name	Sub-structure
70695887	CHEMBL2017252	0.976744	
70691696	CHEMBL2017254	0.959302	
66552476	CHEMBL2063924	0.954802	
53348216	CHEMBL2017214	0.942857	
70685376	CHEMBL2017256	0.942857	
66552359	CHEMBL2063913	0.9375	
66552360	CHEMBL2063914	0.9375	
66552361	CHEMBL2063915	0.9375	
66552362	CHEMBL2063916	0.9375	
70685374	CHEMBL2017250	0.9375	
70689567	CHEMBL2017249	0.9375	
70691694	CHEMBL2017243	0.9375	
70689568	CHEMBL2017251	0.932203	
66552363	CHEMBL2063917	0.926966	
70685375	CHEMBL2017255	0.926966	
70689566	CHEMBL2017242	0.926554	
53494877	CHEMBL2017248	0.92	
66552425	CHEMBL2063923	0.917127	
66552478	CHEMBL2063926	0.916667	
66552479	CHEMBL2063927	0.916667	
66552529	CHEMBL2063929	0.916667	
66552477	CHEMBL2063925	0.912088	
70685370	CHEMBL2017219	0.910615	
70685369	CHEMBL2017215	0.910112	
66552422	CHEMBL2063920	0.906593	
70684418	CHEMBL2063921	0.906593	
66552480	CHEMBL2063928	0.901639	
66552424	CHEMBL2063922	0.891892	
70688677	CHEMBL2063918	0.891892	
70696970	CHEMBL2063919	0.891892	
53348217	CHEMBL2017247	0.875	
53494875	CHEMBL2017244	0.875	
70691695	CHEMBL2017245	0.87027	
70685368	CHEMBL2017210	0.857143	
70681161	CHEMBL2017223	0.842697	
70693778	CHEMBL2017246	0.829897	
70691691	CHEMBL2017234	0.828125	
53348215	x Na	0.825137	
70681159	CHEMBL2017211	0.825137	
70689565	CHEMBL2017239	0.825137	
70693777	CHEMBL2017236	0.825137	
70695886	CHEMBL2017237	0.825137	
70687509	CHEMBL2017240	0.820652	
70689564	CHEMBL2017220	0.820652	
70691693	CHEMBL2017241	0.815217	
70685371	CHEMBL2017221	0.811828	
70681158	CHEMBL2017208	0.808743	
70691688	CHEMBL2017228	0.808743	
70691689	CHEMBL2017231	0.808743	
5328333	AC1NS4B3	0.80791	
70693775	CHEMBL2017225	0.806452	
70693776	CHEMBL2017229	0.804348	
70681162	CHEMBL2017224	0.802139	
70681165	CHEMBL2017233	0.8	
70685372	CHEMBL2017222	0.797872	
70681164	CHEMBL2017230	0.795699	
70691690	CHEMBL2017232	0.795699	
10215165	SureCN373902	0.792553	
5328264	AC1NS45C	0.791209	
5328332	AC1NS4B0	0.787709	
70681166	CHEMBL2017235	0.78607	
5328377	AC1NS4ER	0.784946	
5328347	AC1NS4C9	0.783784	
5328346	AC1NS4C6	0.778378	
5328339	AC1NS4BL	0.776596	
5328272	AC1NS460	0.775956	
44410197	CHEBI:444817	0.774869	
5328376	AC1NS4EO	0.774194	
5328345	AC1NS4C3	0.772973	
70694608	CHEMBL2047954	0.772277	
5328256	Pyrido[3	4-d]pyrimidine 6a	0.771739	
5328330	AC1NS4AU	0.769634	
5328375	AC1NS4EL	0.768817	
44457137	CHEMBL406236	0.768817	
5328277	AC1NS46F	0.767568	
5328278	AC1NS46I	0.767568	
