The CCLE Results relative to 644241
CCLE Name	Target	Does	IC50
22Rv1	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
5637	2	.0025,.0080,.025,.080,.25,.80,2.53,8	7.475354671	
639-V	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
697	2	.0025,.0080,.025,.080,.25,.80,2.53,8	1.910434365	
769-P	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
786-O	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
8305C	2	.0025,.0080,.025,.080,.25,.80,2.53,8	5.635250228	
8505C	2	.0025,.0080,.025,.080,.25,.80,2.53,8	6.852528572	
A172	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
A-204	2	.0025,.0080,.025,.080,.25,.80,2.53,8	1.081994414	
A2058	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
A-253	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
A2780	2	.0025,.0080,.025,.080,.25,.80,2.53,8	6.804694176	
A-375	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
A549	2	.0025,.0080,.025,.080,.25,.80,2.53,8	6.0388937	
ALL-SIL	2	.0025,.0080,.025,.080,.25,.80,2.53,8	0.002952101	
AMO-1	2	.0025,.0080,.025,.080,.25,.80,2.53,8	2.226455688	
AN3 CA	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
AsPC-1	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
AU565	2	.0025,.0080,.025,.080,.25,.80,2.53,8	7.879194736	
AZ-521	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
B-CPAP	2	.0025,.0080,.025,.080,.25,.80,2.53,8	7.456087112	
BDCM	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
BFTC-909	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
BGC-823	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
BL-41	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
BL-70	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
BT-20	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
BT-474	2	.0025,.0080,.025,.080,.25,.80,2.53,8	6.892540932	
BT-549	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
C2BBe1	2	.0025,.0080,.025,.080,.25,.80,2.53,8	6.82102108	
C32	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
Caki-2	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
