Interactions associated to 644241
ID	Name	DTHybrid	kbmf	minhash	RLS	svm	drugbank	stitch	kiba	integrative
O14965	AURKA	0	0	0	0	0	0	0.008	0	0.006	
O15146	MUSK	0	0	0.002	0	0	0	0	0	0	
O60674	JAK1	0	0	0	0	0	0	0.417	0	0.31	
O94804	STK10	0	0	0	0	0	0	0	0	0	
P00519	ABL1	0.393	0	0	0.188	0	1	0.998	0.822	0.779	
P00533	EEF2K	0	0	0	0.036	0	0	0.035	0	0.028	
P04049	RAF1	0	0	0	0.003	0	0	0.283	0.002	0.211	
P04629	NTRK1	0	0	0.005	0.11	0	0	0	0	0.006	
P06213	ILK	0	0	0	0	0	0	0.35	0	0.26	
P06239	LATS2	0.328	0	0	0.083	0	0	0.794	0.551	0.698	
P06241	FRK	0	0	0	0.075	0	0	0	0	0.004	
P07333	CSF1R	0	0	0	0.253	0	0	0.829	0.488	0.693	
P07947	YES1	0	0	0	0.062	0	0	0.064	0.001	0.051	
P07948	LTK	0	0	0	0.025	0	0	0	0.235	0.176	
P07949	RET	0	0	0	0.031	0	0	0.12	0	0.091	
P08631	GSK3B	0	0	0	0.051	0	0	0	0.014	0.013	
P09619	PDGFRB	0.28	0	0.002	0.117	0	0	0.913	0.657	0.745	
P09769	FGFR4	0	0	0	0.062	0	0	0.359	0.021	0.28	
P10721	KHK	0	0	0.005	0.043	0	1	0.984	0.53	0.752	
P11274	BCR	0	0	0	0	0	0	0.47	0.429	0.519	
P11362	FES	0	0	0	0.064	0	0	0.264	0	0.199	
P12931	SRC	0	0	0	0.107	0	0	0.332	0	0.252	
P15056	BRAF	0	0	0	0	0	0	0.85	0.001	0.631	
P16234	PDGFRA	0.116	0	0.002	0.01	0	0	0.925	0.768	0.741	
P17948	FGR	0	0	0.002	0.067	0	0	0	0	0.003	
P21709	EIF2AK4	0	0	0	0	0	0	0.107	0.005	0.083	
P21802	FGFR1	0	0	0.002	0.133	0	0	0.277	0	0.212	
P22455	FGFR3	0	0	0	0.002	0	0	0	0	0	
P22607	FGFR2	0	0	0	0.089	0	0	0	0	0.004	
P24941	CDK2	0	0	0	0.042	0	0	0	0	0.002	
P29317	EPHA1	0	0	0	0	0	0	0.866	0.041	0.647	
P29320	EPHA2	0	0	0	0	0	0	0.61	0.138	0.494	
P29322	EPHA7	0	0	0	0	0	0	0.797	0.45	0.662	
P29323	EPHB1	0	0	0	0	0	0	0.882	0.004	0.655	
P29597	TYK2	0	0	0	0	0	0	0.061	0	0.045	
P30530	AXL	0	0	0.005	0	0	0	0.084	0	0.063	
P31749	AKT1	0	0	0	0	0	0	0.038	0	0.028	
P35590	TIE1	0	0	0.002	0.009	0	0	0	0.001	0.001	
P35916	FLT3	0	0	0.002	0.2	0	0	0	0	0.01	
P35968	JAK3	0	0	0.002	0.213	0	0	0.226	0	0.179	
P36888	FLT1	0	0	0	0.092	0	0	0.551	0	0.414	
P41240	CSK	0	0	0	0.054	0	0	0.473	0	0.354	
P42345	MTOR	0	0	0	0	0	0	0.047	0	0.035	
P42679	MATK	0	0	0	0.045	0	0	0	0	0.002	
P42680	TEC	0	0	0	0.008	0	0	0	0	0	
P42681	TXK	0	0	0	0.06	0	0	0	0	0.003	
P42684	ABL2	0.297	0	0	0.195	0	0	0.886	0.561	0.734	
P42685	FLT4	0	0	0	0.044	0	0	0	0.193	0.146	
P43403	ZAP70	0	0	0	0	0	0	0.257	0	0.191	
P45983	MAPK8	0	0	0	0	0	0	0.168	0.01	0.131	
P45984	MAPK9	0	0	0	0	0	0	0	0	0	
P49759	CLK1	0	0	0	0	0	0	0	0	0	
P51451	BLK	0	0	0	0.057	0	0	0.138	0.007	0.11	
P51813	BMX	0	0	0	0	0	0	0.329	0	0.244	
P52333	JAK2	0	0	0	0	0	0	0.007	0	0.005	
P53779	MAPK10	0	0	0	0	0	0	0.191	0	0.142	
P54753	EPHB2	0	0	0	0	0	0	0.874	0.001	0.649	
P54756	EPHA4	0	0	0	0	0	0	0.763	0	0.567	
P54760	EPHB3	0	0	0	0	0	0	0.894	0.003	0.664	
P54762	EPHA8	0	0	0	0	0	0	0.883	0	0.656	
P54764	EPHA3	0	0	0	0	0	0	0.848	0.02	0.632	
Q02763	TEK	0	0	0	0	0	0	0.188	0.001	0.14	
Q06418	TYRO3	0	0	0.002	0.028	0	0	0	0	0.002	
Q08345	DDR1	0.044	0	0	0.337	0	0	0.902	0.977	0.766	
Q12866	MERTK	0	0	0.002	0.029	0	0	0	0	0.002	
Q13163	MAP2K4	0	0	0	0	0	0	0.449	0.057	0.357	
Q13627	DYRK1A	0	0	0	0	0	0	0.237	0	0.176	
Q13882	PTK6	0	0	0	0	0	0	0.099	0	0.074	
Q15759	MAPK11	0	0	0	0	0	0	0.883	0.456	0.698	
Q16288	NTRK3	0	0	0	0	0	0	0.09	0.005	0.07	
