Interactions associated to O00141
ID	Name	DTHybrid	kbmf	minhash	RLS	svm	drugbank	stitch	kiba	integrative
10000020	CHEBI:272694	0	0	0	0	0.57	0	0	0	0.028	
10002079	SureCN938436	0	0	0	0	0.799	0	0	0	0.04	
10008287	SureCN5828809	0	0	0	0	0.579	0	0	0	0.029	
10026590	SureCN5901409	0	0	0	0	0.309	0	0	0	0.015	
1003	phosphate	0	0	0	0	0	0	0.055	0	0.041	
10032487	UN 8	0	0	0	0	0.239	0	0	0	0.012	
10048676	CHEBI:293730	0	0	0	0	0.353	0	0	0	0.018	
10050156	2e9n	0	0	0	0	0	0	0.376	0	0.279	
10064086	CHEMBL81043	0	0	0	0	0.703	0	0	0	0.035	
10074436	SureCN6796396	0	0	0	0	0.614	0	0	0	0.031	
10079983	CHEBI:284298	0	0	0	0	0.868	0	0	0	0.043	
10111252	CHEBI:406546	0	0	0	0	0.775	0	0	0	0.039	
10134344	SureCN3917059	0	0	0	0	0.562	0	0	0	0.028	
10151273	SureCN4376204	0	0	0	0	0.192	0	0	0	0.01	
10156522	CHEBI:406730	0	0	0	0	0.908	0	0	0	0.045	
10159519	SureCN2203460	0	0	0	0	0.595	0	0	0	0.03	
10164106	CHEMBL94825	0	0	0	0	0.137	0	0	0	0.007	
10166322	CHEBI:434423	0	0	0	0	0.537	0	0	0	0.027	
10175096	pyrazoloquinazoline deriv.	 8	0	0	0	0	0.03	0	0	0	0.002	
10182284	SureCN2202920	0	0	0	0	0.086	0	0	0	0.004	
10196735	SureCN4293621	0	0	0	0	0.335	0	0	0	0.017	
10204194	SureCN6596290	0	0	0	0	0.114	0	0	0	0.006	
10206034	SureCN4454660	0	0	0	0	0.425	0	0	0	0.021	
10269818	SureCN6586161	0	0	0	0	0.548	0	0	0	0.027	
10275896	SB-682330A	0	0	0	0	0.046	0	0	0	0.002	
10279557	CHEBI:368097	0	0	0	0	0.143	0	0	0	0.007	
10291997	SureCN6586594	0	0	0	0	0.723	0	0	0	0.036	
10296883	sotrastaurin	0	0	0	0.004	0	0	0	0	0	
10297469	SureCN6597246	0	0	0	0	0.179	0	0	0	0.009	
10312249	SureCN4295330	0	0	0	0	0.333	0	0	0	0.017	
10334509	CHEMBL170865	0	0	0	0	0.766	0	0	0	0.038	
10385282	C-4 substituted oxindole inhibitor 7n	0	0	0	0	0.232	0	0	0	0.012	
10391910	SureCN2034168	0	0	0	0	0.191	0	0	0	0.01	
10400560	CHEMBL171366	0	0	0	0	0.732	0	0	0	0.037	
10414039	SureCN5828965	0	0	0	0	0.007	0	0	0	0	
10432161	SureCN5902146	0	0	0	0	0.309	0	0	0	0.015	
10451420	ACHP	0	0	0	0	0.868	0	0	0	0.043	
10452500	SureCN8349585	0	0	0	0	0.147	0	0	0	0.007	
10522936	CHEBI:390226	0	0	0	0	0.496	0	0	0	0.025	
10522937	CHEBI:388576	0	0	0	0	0.496	0	0	0	0.025	
10533306	CHEBI:546231	0	0	0	0	0.92	0	0	0	0.046	
10566926	CHEBI:390067	0	0	0	0	0.406	0	0	0	0.02	
10581141	CHEBI:604161	0	0	0	0	0.92	0	0	0	0.046	
10601861	CHEMBL75562	0	0	0	0	0.474	0	0	0	0.024	
10640765	CHEBI:388338	0	0	0	0	0.406	0	0	0	0.02	
10643635	SureCN8353793	0	0	0	0	0.147	0	0	0	0.007	
10672600	CHEMBL72973	0	0	0	0	0.02	0	0	0	0.001	
10716132	SureCN5737281	0	0	0	0	0.254	0	0	0	0.013	
10735751	CHEBI:390227	0	0	0	0	0.406	0	0	0	0.02	
10760269	CHEMBL93805	0	0	0	0	0.727	0	0	0	0.036	
10789231	SureCN8705978	0	0	0	0	0.125	0	0	0	0.006	
10812851	CHEBI:293843	0	0	0	0	0.353	0	0	0	0.018	
10833355	SureCN8706893	0	0	0	0	0.016	0	0	0	0.001	
10836418	CHEMBL72298	0	0	0	0	0.158	0	0	0	0.008	
10840047	CHEBI:216486	0	0	0	0	0.149	0	0	0	0.007	
10850276	CHEMBL369443	0	0	0	0	0.839	0	0	0	0.042	
10852454	CHEBI:390515	0	0	0	0	0.406	0	0	0	0.02	
10871128	CTK1F3129	0	0	0	0.014	0	0	0	0	0.001	
10871795	CHEBI:237527	0	0	0	0	0.163	0	0	0	0.008	
10882616	CHEMBL86195	0	0	0	0	0.437	0	0	0	0.022	
10884145	chondrillin	0	0	0	0	0.409	0	0	0	0.02	
10915062	1a-w	0	0	0	0	0.437	0	0	0	0.022	
10970903	CHEBI:679743	0	0	0	0	0.586	0	0	0	0.029	
11043031	CHEMBL169505	0	0	0	0	0.641	0	0	0	0.032	
11132251	CHEMBL89154	0	0	0	0	0.22	0	0	0	0.011	
11157369	CTK5F3470	0	0	0	0	0.308	0	0	0	0.015	
11192412	CHEMBL403158	0	0	0	0	0.531	0	0	0	0.027	
