Interactions associated to P50053
ID	Name	DTHybrid	kbmf	minhash	RLS	svm	drugbank	stitch	kiba	integrative
10000020	CHEBI:272694	0	0	0	0	0.877	0	0	0	0.044	
10000872	SureCN2982364	0	0	0	0	0.164	0	0	0	0.008	
10002079	SureCN938436	0	0	0	0	0.98	0	0	0	0.049	
10002936	CHEBI:487345	0	0	0	0	0.241	0	0	0	0.012	
10003439	CHEBI:395538	0	0	0	0.19	0	0	0	0	0.009	
10005624	SureCN5828003	0	0	0	0	0.506	0	0	0	0.025	
10006987	CHEBI:683160	0	0	0	0	0.658	0	0	0	0.033	
10007960	SureCN6183004	0	0	0	0	0.732	0	0	0	0.037	
10008287	SureCN5828809	0	0	0	0	0.927	0	0	0	0.046	
10008364	SureCN2934606	0	0	0	0	0.31	0	0	0	0.015	
10008543	SureCN6201329	0	0	0	0	0.806	0	0	0	0.04	
10014369	SureCN7300646	0	0	0	0	0.106	0	0	0	0.005	
10023121	SureCN4846026	0	0	0	0	0.516	0	0	0	0.026	
10025752	SureCN4913214	0	0	0	0	0.832	0	0	0	0.042	
10026590	SureCN5901409	0	0	0	0	0.901	0	0	0	0.045	
10027534	SureCN4838024	0	0	0	0	0.822	0	0	0	0.041	
1003	phosphate	0	0	0	0	0	0	0.048	0	0.036	
10031080	CHEBI:486287	0	0	0	0	0.855	0	0	0	0.043	
10032487	UN 8	0	0	0	0	0.956	0	0	0	0.048	
10034070	CHEBI:233248	0	0	0	0	0.662	0	0	0	0.033	
10038490	SureCN5474922	0	0	0	0	0.882	0	0	0	0.044	
10043090	CHEMBL99707	0	0	0	0.172	0	0	0.069	0	0.06	
10048580	CHEMBL65704	0	0	0	0	0.458	0	0	0	0.023	
10048676	CHEBI:293730	0	0	0	0	0.77	0	0	0	0.038	
10050705	CHEBI:265248	0	0	0	0	0.539	0	0	0	0.027	
10064086	CHEMBL81043	0	0	0	0	0.958	0	0	0	0.048	
10066656	SureCN6588070	0	0	0	0	0.517	0	0	0	0.026	
10072710	SureCN2979275	0	0	0	0	0.64	0	0	0	0.032	
10073694	CHEBI:282308	0	0	0	0	0.728	0	0	0	0.036	
10073832	CHEBI:423178	0	0	0	0	0.656	0	0	0	0.033	
10074436	SureCN6796396	0	0	0	0	0.896	0	0	0	0.045	
10076485	SureCN6194659	0	0	0	0	0.157	0	0	0	0.008	
10079983	CHEBI:284298	0	0	0	0	0.976	0	0	0	0.049	
10084205	CHEMBL98641	0	0	0	0	0	0	0.085	0	0.063	
10092284	CHEBI:511297	0	0	0	0	0.081	0	0	0	0.004	
10096845	CHEBI:394348	0	0	0	0	0.811	0	0	0	0.041	
10098997	SureCN6199999	0	0	0	0	0.312	0	0	0	0.016	
10099710	CHEBI:486280	0	0	0	0	0.84	0	0	0	0.042	
10101785	CHEBI:302549	0	0	0	0	0.828	0	0	0	0.041	
10109869	CHEBI:1237319	0	0	0	0	0.399	0	0	0	0.02	
10110515	SureCN7977542	0	0	0	0	0	0	0.11	0	0.082	
10110571	SureCN6595336	0	0	0	0	0.82	0	0	0	0.041	
10110675	SureCN6598229	0	0	0	0	0.521	0	0	0	0.026	
10111252	CHEBI:406546	0	0	0	0	0.949	0	0	0	0.047	
10111694	SureCN2204915	0	0	0	0	0.857	0	0	0	0.043	
10112611	SureCN2205912	0	0	0	0	0.915	0	0	0	0.046	
10113038	SureCN6488108	0	0	0	0	0.758	0	0	0	0.038	
10113430	AZD0530 analogue 5	0	0	0	0	0.246	0	0	0	0.012	
10113529	SureCN2204846	0	0	0	0	0.409	0	0	0	0.02	
10113978	pazopanib	0	0	0	0	0	0	0.159	0	0.118	
10114110	CHEMBL583658	0	0	0	0	0.748	0	0	0	0.037	
10114460	CHEMBL252533	0	0	0	0	0.466	0	0	0	0.023	
10114464	CHEBI:511891	0	0	0	0	0	0	0.061	0	0.045	
10114553	SureCN6594007	0	0	0	0	0.685	0	0	0	0.034	
10115116	CHEBI:350738	0	0	0	0	0.377	0	0	0	0.019	
10115240	SureCN2475260	0	0	0	0	0.021	0	0.086	0	0.065	
10115542	SureCN3926044	0	0	0	0	0.755	0	0	0	0.038	
10116002	CHEBI:350713	0	0	0	0	0.411	0	0	0	0.021	
10116123	SureCN2446181	0	0	0	0	0.044	0	0.091	0	0.07	
10117051	SureCN2445498	0	0	0	0	0	0	0.081	0	0.06	
10117126	CHEBI:697992	0	0	0	0	0.365	0	0	0	0.018	
10118096	CHEBI:368096	0	0	0	0	0.915	0	0	0	0.046	
10120124	CHEBI:497350	0	0	0	0	0.211	0	0	0	0.011	
10121709	CHEBI:306001	0	0	0	0	0.231	0	0	0	0.012	
10125446	CHEBI:451455	0	0	0	0	0.047	0	0	0	0.002	
10126343	quinolin-2(1H)-one derivative	 9f	0	0	0	0	0.313	0	0	0	0.016	
10127189	Isoquinoline-pyridine	 10g	0	0	0	0	0.143	0	0	0	0.007	
10127271	SureCN7093762	0	0	0	0	0.11	0	0	0	0.005	
10127604	SureCN4377189	0	0	0	0	0.617	0	0	0	0.031	
10128386	SureCN4296517	0	0	0	0	0.309	0	0	0	0.015	
10131805	SureCN7974590	0	0	0	0	0	0	0.11	0	0.082	
10132219	CHEBI:411505	0	0	0	0	0.597	0	0	0	0.03	
10132679	SureCN6587505	0	0	0	0	0.326	0	0	0	0.016	
10133199	SureCN3918732	0	0	0	0	0.701	0	0	0	0.035	
10133600	SureCN2204390	0	0	0	0	0.814	0	0	0	0.041	
