Interactions associated to 44327250
ID	Name	DTHybrid	kbmf	minhash	RLS	svm	drugbank	stitch	kiba	integrative
O00142	TK2	0	0	0	0	0.217	0	0	0	0.011	
O15264	MAPK13	0	0	0	0	0	0	0.051	0	0.038	
P08581	MET	0	0	0	0	0.042	0	0	0	0.002	
P16066	NPR1	0	0	0	0	0.992	0	0	0	0.05	
P20594	NPR2	0	0	0	0	0.992	0	0	0	0.05	
P27707	DCK	0	0	0	0	0.217	0	0	0	0.011	
P30530	AXL	0	0	0	0	0.132	0	0	0	0.007	
P50053	KDR	0	0	0	0	0.506	0	0	0	0.025	
P55263	ADK	0	0	0	0	0.506	0	0	0	0.025	
Q15759	MAPK11	0	0	0	0	0	0	0.131	0	0.097	
Q16539	MAPK14	0.592	0	0	0	0	0	0.776	0.981	0.775	
Q16854	DGUOK	0	0	0	0	0.217	0	0	0	0.011	
Q8NEV4	MYO3A	0	0	0.099	0	0	0	0	0	0.005	
Q8WXR4	MYO3B	0	0	0.099	0	0	0	0	0	0.005	
