uniprot_ID	aliase
O00141	ENSP00000356832
O00141	ENSP00000396242
O00141	ENSP00000237305
O00141	ENSP00000356831
O00141	ENSP00000434450
O00142	ENSP00000440898
O00142	ENSP00000433770
O00142	ENSP00000435312
O00142	ENSP00000438143
O00142	ENSP00000434594
O00142	ENSP00000463560
O00142	ENSP00000299697
O00142	ENSP00000483833
O00238	ENSP00000426617
O00238	ENSP00000425444
O00238	ENSP00000421671
O00238	ENSP00000264568
O00238	ENSP00000378389
O00238	ENSP00000401907
O00311	ENSP00000234626
O00311	ENSP00000393139
O00329	ENSP00000366563
O00418	ENSP00000263026
O00443	ENSP00000265970
O00444	ENSP00000270861
O00444	ENSP00000427554
O00444	ENSP00000423582
O00506	ENSP00000325748
O00506	ENSP00000384162
O00506	ENSP00000385687
O00506	ENSP00000384444
O00506	ENSP00000385541
O00506	ENSP00000446008
O00506	ENSP00000444886
O00750	ENSP00000356155
O14519	ENSP00000261692
O14519	ENSP00000442502
O14519	ENSP00000442565
O14519	ENSP00000440729
O14519	ENSP00000438561
O14519	ENSP00000479982
O14578	ENSP00000376306
O14578	ENSP00000261833
O14578	ENSP00000482318
O14730	ENSP00000341874
O14730	ENSP00000462548
O14733	ENSP00000381068
O14733	ENSP00000381070
O14733	ENSP00000381066
O14757	ENSP00000412504
O14757	ENSP00000442317
O14757	ENSP00000435371
O14757	ENSP00000432890
O14757	ENSP00000481616
O14757	ENSP00000388648
O14920	ENSP00000430684
O14920	ENSP00000430483
O14920	ENSP00000430868
O14920	ENSP00000404920
O14965	ENSP00000360407
O14965	ENSP00000216911
O14965	ENSP00000379247
O14965	ENSP00000321591
O14965	ENSP00000379251
O14965	ENSP00000379249
O14965	ENSP00000379250
O14976	ENSP00000314499
O14976	ENSP00000421361
O15075	ENSP00000353846
O15075	ENSP00000369223
O15075	ENSP00000255448
O15075	ENSP00000484452
O15111	ENSP00000359424
O15146	ENSP00000363571
O15146	ENSP00000189978
O15264	ENSP00000211287
O15264	ENSP00000362871
O15530	ENSP00000344220
O15530	ENSP00000395357
O15530	ENSP00000268673
O43283	ENSP00000411483
O43283	ENSP00000399910
O43283	ENSP00000389798
O43283	ENSP00000409325
O43283	ENSP00000265026
O43283	ENSP00000403561
O43293	ENSP00000442973
O43293	ENSP00000301264
O43318	ENSP00000358331
O43318	ENSP00000358333
O43318	ENSP00000358338
O43318	ENSP00000358335
O43353	ENSP00000220751
O43683	ENSP00000386701
O43683	ENSP00000302530
O43683	ENSP00000441013
O43741	ENSP00000254101
O43781	ENSP00000356076
O43781	ENSP00000356075
O43781	ENSP00000356073
O60285	ENSP00000261402
O60331	ENSP00000335333
O60331	ENSP00000445992
O60331	ENSP00000466363
O60331	ENSP00000444779
O60674	ENSP00000371067
O75116	ENSP00000317985
O75385	ENSP00000324560
O75460	ENSP00000401445
O75460	ENSP00000475519
O75582	ENSP00000479667
O75676	ENSP00000333896
O75716	ENSP00000386928
