The Similar proteins with P08581
ID	Name	Domain	GO	Sequence
O00141	SGK1	0	0.196	0.034	
O00142	TK2	0	0.133	0.01	
O00238	BMPR1B	0	0.339	0.016	
O00311	CDC7	0	0.214	0.014	
O00329	PIK3CD	0	0.172	0.006	
O00418	EEF2K	0	0.159	0.007	
O00443	PIK3C2A	0	0.163	0.006	
O00444	PLK4	0	0.181	0.024	
O00506	STK25	0	0.252	0.049	
O00750	PIK3C2B	0	0.157	0.005	
O14519	CDK2AP1	0	0.055	0.015	
O14578	CIT	0	0.176	0.009	
O14730	RIOK3	0	0.179	0.01	
O14733	MAP2K6	0	0.242	0.029	
O14757	CHEK1	0	0.184	0.029	
O14920	IGF1R	0	0.314	0.023	
O14965	AURKA	0	0.155	0.029	
O14976	FYN	0	0.175	0.01	
O15075	DCLK1	0	0.365	0.019	
O15111	CHUK	0	0.255	0.021	
O15146	MUSK	0.143	0.419	0.061	
O15264	MAPK13	0	0.209	0.029	
O15530	PDPK1	0	0.187	0.027	
O43283	MAP3K12	0.25	0.228	0.043	
O43293	DAPK3	0	0.176	0.027	
O43318	MAP3K7	0.25	0.215	0.041	
O43353	RIPK2	0	0.213	0.034	
O43683	BUB1	0	0.197	0.007	
O43741	PRKAB2	0	0.088	0.011	
O43781	DYRK3	0	0.181	0.018	
O60285	NUAK1	0	0.182	0.028	
O60331	PIP5K1C	0	0.207	0.007	
O60674	JAK1	0.2	0.216	0.051	
O75116	ROCK2	0	0.204	0.015	
O75385	ULK1	0	0.192	0.021	
O75460	ERBB4	0	0.336	0.011	
O75582	RPS6KA5	0	0.207	0.017	
O75676	RPS6KA4	0	0.198	0.021	
O75716	STK16	0	0.207	0.031	
O75747	PIK3C2G	0	0.166	0.005	
O75914	PAK3	0	0.245	0.027	
O75956	CDK2AP2	0	0.055	0.015	
O76039	CDKL5	0	0.201	0.014	
O94768	STK17B	0	0.211	0.025	
O94804	STK10	0	0.243	0.022	
O94806	PRKD3	0	0.177	0.02	
O94921	CDK14	0	0.191	0.028	
O95382	MAP3K6	0	0.222	0.01	
O95544	NADK	0	0.162	0.007	
O95747	OXSR1	0	0.223	0.029	
O95819	MAP4K4	0	0.222	0.017	
O95835	KIT	0	0.312	0.01	
O96013	PAK4	0	0.214	0.027	
O96017	CHEK2	0	0.186	0.018	
P00519	ABL1	0.143	0.183	0.071	
P00533	EEF2K	0.143	0.159	0.066	
P00749	PLAU	0	0.074	0.009	
P04049	RAF1	0.167	0.22	0.04	
P04183	TK1	0	0.137	0.011	
P04626	EPHB4	0.143	0.399	0.066	
P04629	NTRK1	0	0.281	0.07	
P05129	PRKCG	0	0.178	0.023	
P05771	PRKCB	0	0.171	0.029	
P06213	ILK	0.143	0.252	0.066	
P06239	LATS2	0.167	0.203	0.088	
P06241	FRK	0.167	0.246	0.084	
P06493	CDK1	0	0.216	0.042	
P06732	CKM	0	0.145	0.009	
P07332	FER	0.167	0.211	0.082	
P07333	CSF1R	0.167	0.479	0.055	
P07947	YES1	0.167	0.24	0.078	
P07948	LTK	0	0.45	0.097	
P07949	RET	0.2	0.408	0.061	
P08069	ICK	0.143	0.178	0.067	
P08631	GSK3B	0	0.163	0.086	
P08922	ROS1	0.2	0.426	0.05	
P09619	PDGFRB	0.143	0.278	0.06	
P09769	FGFR4	0.167	0.336	0.082	
P0C1S8	WEE2	0	0.194	0.012	
P0C264	SBK3	0	0.175	0.013	
P10398	ARAF	0.167	0.217	0.039	
P10721	KHK	0.143	0.148	0.058	
P11274	BCR	0	0.197	0.005	
P11309	PIM1	0	0.239	0.018	
P11362	FES	0.2	0.224	0.077	
P11802	CDK4	0	0.179	0.033	
P12931	SRC	0.167	0.17	0.083	
P14616	INSR	0.143	0.271	0.066	
P15056	BRAF	0.167	0.218	0.039	
P15735	PHKG2	0	0.154	0.028	
P16066	NPR1	0.167	0.289	0.017	
P16234	PDGFRA	0.167	0.333	0.057	
P16591	ERN1	0.167	0.206	0.084	
P17252	PRKCA	0	0.187	0.028	
P17612	PRKACA	0	0.18	0.026	
P17948	FGR	0.167	0.21	0.057	
P19367	HIPK4	0	0.192	0.007	
P19525	EIF2AK1	0	0.169	0.027	
P19784	CSNK2A2	0	0.23	0.022	
