The Similar proteins with O00142
ID	Name	Domain	GO	Sequence
O00141	SGK1	0	0.226	0.016	
O00238	BMPR1B	0	0.13	0.015	
O00311	CDC7	0	0.252	0.016	
O00329	PIK3CD	0	0.156	0.012	
O00418	EEF2K	0	0.163	0.011	
O00443	PIK3C2A	0	0.159	0.011	
O00444	PLK4	0	0.228	0.012	
O00506	STK25	0	0.184	0.016	
O00750	PIK3C2B	0	0.164	0.011	
O14519	CDK2AP1	0	0.084	0.024	
O14578	CIT	0	0.154	0.01	
O14730	RIOK3	0	0.19	0.024	
O14733	MAP2K6	0	0.222	0.02	
O14757	CHEK1	0	0.2	0.018	
O14920	IGF1R	0	0.109	0.015	
O14965	AURKA	0	0.144	0.017	
O14976	FYN	0	0.119	0.011	
O15075	DCLK1	0	0.179	0.015	
O15111	CHUK	0	0.195	0.013	
O15146	MUSK	0	0.16	0.013	
O15264	MAPK13	0	0.191	0.019	
O15530	PDPK1	0	0.166	0.016	
O43283	MAP3K12	0	0.148	0.011	
O43293	DAPK3	0	0.175	0.022	
O43318	MAP3K7	0	0.183	0.015	
O43353	RIPK2	0	0.149	0.021	
O43683	BUB1	0	0.223	0.014	
O43741	PRKAB2	0	0.13	0.018	
O43781	DYRK3	0	0.187	0.016	
O60285	NUAK1	0	0.227	0.015	
O60331	PIP5K1C	0	0.193	0.015	
O60674	JAK1	0	0.132	0.014	
O75116	ROCK2	0	0.164	0.012	
O75385	ULK1	0	0.162	0.013	
O75460	ERBB4	0	0.209	0.013	
O75582	RPS6KA5	0	0.224	0.014	
O75676	RPS6KA4	0	0.203	0.014	
O75716	STK16	0	0.2	0.023	
O75747	PIK3C2G	0	0.165	0.011	
O75914	PAK3	0	0.167	0.015	
O75956	CDK2AP2	0	0.084	0.029	
O76039	CDKL5	0	0.187	0.012	
O94768	STK17B	0	0.223	0.021	
O94804	STK10	0	0.152	0.014	
O94806	PRKD3	0	0.26	0.012	
O94921	CDK14	0	0.198	0.018	
O95382	MAP3K6	0	0.154	0.012	
O95544	NADK	0	0.251	0.016	
O95747	OXSR1	0	0.16	0.015	
O95819	MAP4K4	0	0.141	0.012	
O95835	KIT	0	0.124	0.013	
O96013	PAK4	0	0.172	0.017	
O96017	CHEK2	0	0.207	0.018	
P00519	ABL1	0	0.159	0.011	
P00533	EEF2K	0	0.163	0.016	
P00749	PLAU	0	0.017	0.017	
P04049	RAF1	0	0.248	0.014	
P04183	TK1	0	0.426	0.027	
P04626	EPHB4	0	0.162	0.013	
P04629	NTRK1	0	0.129	0.013	
P05129	PRKCG	0	0.154	0.015	
P05771	PRKCB	0	0.15	0.015	
P06213	ILK	0	0.157	0.012	
P06239	LATS2	0	0.213	0.016	
P06241	FRK	0	0.193	0.015	
P06493	CDK1	0	0.177	0.019	
P06732	CKM	0	0.217	0.021	
P07332	FER	0	0.135	0.013	
P07333	CSF1R	0	0.118	0.012	
P07947	YES1	0	0.158	0.016	
P07948	LTK	0	0.158	0.019	
P07949	RET	0	0.186	0.011	
P08069	ICK	0	0.194	0.013	
P08581	MET	0	0.133	0.01	
P08631	GSK3B	0	0.127	0.021	
P08922	ROS1	0	0.14	0.009	
P09619	PDGFRB	0	0.126	0.013	
P09769	FGFR4	0	0.173	0.018	
P0C1S8	WEE2	0	0.242	0.019	
P0C264	SBK3	0	0.191	0.017	
P10398	ARAF	0	0.219	0.02	
P10721	KHK	0	0.179	0.011	
P11274	BCR	0	0.157	0.012	
P11309	PIM1	0	0.192	0.019	
P11362	FES	0	0.158	0.012	
P11802	CDK4	0	0.2	0.019	
P12931	SRC	0	0.132	0.014	
P14616	INSR	0	0.111	0.012	
P15056	BRAF	0	0.151	0.015	
P15735	PHKG2	0	0.168	0.02	
P16066	NPR1	0	0.124	0.011	
P16234	PDGFRA	0	0.121	0.012	
P16591	ERN1	0	0.188	0.016	
P17252	PRKCA	0	0.201	0.012	
P17612	PRKACA	0	0.144	0.022	
P17948	FGR	0	0.199	0.011	
P19367	HIPK4	0	0.226	0.014	
P19525	EIF2AK1	0	0.167	0.017	
P19784	CSNK2A2	0	0.24	0.017	
P20594	NPR2	0	0.145	0.013	
P20794	MAGI3	0	0.19	0.015	
P21127	CDK11B	0	0.236	0.023	
P21709	EIF2AK4	0	0.198	0.012	
P21802	FGFR1	0	0.131	0.012	
P21860	ERBB2	0	0.136	0.012	
P22455	FGFR3	0	0.145	0.012	
P22607	FGFR2	0	0.151	0.014	
P22612	PRKACG	0	0.242	0.018	
P22694	PRKACB	0	0.174	0.022	
P23443	RPS6KB1	0	0.272	0.018	
P23458	ITK	0	0.176	0.01	
P23919	DTYMK	0	0.39	0.026	
P24723	PRKCH	0	0.161	0.013	
P24941	CDK2	0	0.193	0.017	
P25098	ADRBK1	0	0.149	0.014	
P27037	ACVR2A	0	0.115	0.015	
P27144	AK4	0	0.313	0.029	
P27361	MAPK3	0	0.172	0.017	
P27448	MARK3	0	0.201	0.014	
P27707	DCK	0	0.49	0.193	
P27986	PIK3R1	0	0.04	0.012	
P28482	MAPK1	0	0.136	0.016	
P29317	EPHA1	0	0.139	0.011	
P29320	EPHA2	0	0.139	0.014	
P29322	EPHA7	0	0.117	0.012	
P29323	EPHB1	0	0.152	0.013	
P29376	LRRK2	0	0.135	0.016	
P29597	TYK2	0	0.147	0.012	
P30291	WEE1	0	0.246	0.017	
P30530	AXL	0	0.102	0.013	
P31152	MAPK4	0	0.164	0.013	
P31749	AKT1	0	0.156	0.015	
P31751	AKT2	0	0.233	0.016	
P32189	GCK	0	0.157	0.015	
P32298	GRK1	0	0.187	0.015	
P33981	TTK	0	0.195	0.017	
P34947	GRK4	0	0.175	0.013	
P35557	GALK1	0	0.176	0.016	
P35558	PCK1	0	0.102	0.014	
P35590	TIE1	0	0.156	0.011	
P35626	ADRBK2	0	0.162	0.015	
P35790	CHKA	0	0.149	0.017	
P35916	FLT3	0	0.156	0.013	
P35968	JAK3	0	0.164	0.01	
P36507	MAP2K1	0	0.1	0.02	
P36888	FLT1	0	0.128	0.011	
P36894	BMPR1A	0	0.113	0.016	
P36896	ACVR1B	0	0.11	0.016	
P36897	TGFBR1	0	0.114	0.015	
P37023	ACVRL1	0	0.098	0.016	
P37173	TGFBR2	0	0.087	0.016	
P41240	CSK	0	0.143	0.017	
P41279	MAP3K8	0	0.16	0.016	
P41743	PRKCI	0	0.18	0.019	
P42336	PIK3CA	0	0.118	0.011	
P42338	PIK3CB	0	0.157	0.012	
P42345	MTOR	0	0.15	0.011	
P42356	PI4KA	0	0.213	0.009	
P42679	MATK	0	0.186	0.017	
P42680	TEC	0	0.17	0.019	
P42681	TXK	0	0.134	0.016	
P42684	ABL2	0	0.134	0.012	
P42685	FLT4	0	0.144	0.016	
P43250	GRK5	0	0.213	0.015	
P43403	ZAP70	0	0.15	0.013	
P43405	SYK	0	0.135	0.014	
P45983	MAPK8	0	0.22	0.019	
P45984	MAPK9	0	0.195	0.018	
P45985	MAP2K3	0	0.241	0.02	
P46019	PHKA2	0	0.064	0.013	
P46020	PHKA1	0	0.064	0.014	
P46734	MAP2K2	0	0.129	0.019	
P48729	CSNK1A1	0	0.224	0.018	
P48730	CSNK1D	0	0.183	0.023	
P48736	PIK3CG	0	0.138	0.012	
P49137	MAPKAPK2	0	0.166	0.018	
P49336	CDK8	0	0.247	0.027	
P49674	CSNK1E	0	0.226	0.023	
P49759	CLK1	0	0.203	0.018	
P49760	CLK2	0	0.241	0.018	
P49761	CLK3	0	0.233	0.016	
P49840	GSG2	0	0.177	0.021	
P49841	GSK3A	0	0.161	0.017	
P50053	KDR	0	0.117	0.026	
P50613	CDK7	0	0.171	0.029	
P50750	CDK9	0	0.193	0.014	
P51451	BLK	0	0.173	0.017	
P51570	GAK	0	0.215	0.017	
P51617	INSRR	0	0.147	0.014	
P51812	RPS6KA3	0	0.201	0.014	
P51813	BMX	0	0.17	0.015	
P51817	PRKX	0	0.192	0.019	
P51955	NEK2	0	0.188	0.021	
P51956	NEK3	0	0.215	0.015	
P51957	NEK4	0	0.211	0.017	
P52333	JAK2	0	0.115	0.012	
P52564	MAP2K5	0	0.193	0.02	
P53350	PLK1	0	0.164	0.019	
P53355	DAPK1	0	0.154	0.011	
P53667	LCK	0	0.101	0.017	
P53671	LIMK1	0	0.201	0.015	
P53778	MAPK12	0	0.265	0.022	
P53779	MAPK10	0	0.23	0.017	
P54619	PRKAG1	0	0.153	0.017	
P54646	PRKAA2	0	0.198	0.015	
P54753	EPHB2	0	0.136	0.011	
P54756	EPHA4	0	0.153	0.011	
P54760	EPHB3	0	0.16	0.012	
P54762	EPHA8	0	0.176	0.013	
P54764	EPHA3	0	0.175	0.011	
P54819	AK2	0	0.339	0.02	
P55263	ADK	0	0.34	0.021	
P57058	HKDC1	0	0.169	0.015	
P57059	SIK1	0	0.164	0.012	
P57078	RIPK4	0	0.252	0.012	
P60891	PRPS1	0	0.204	0.022	
P67870	CSNK2B	0	0.067	0.023	
P68400	CSNK2A1	0	0.204	0.015	
P78356	PIP4K2B	0	0.239	0.016	
P78362	SRPK2	0	0.238	0.014	
P78368	CSNK1G2	0	0.185	0.019	
P78527	PRKDC	0	0.216	0.007	
P80192	MAP3K9	0	0.135	0.011	
Q00526	CDK3	0	0.183	0.019	
Q00532	CDKL1	0	0.201	0.016	
Q00534	CDK6	0	0.208	0.019	
Q00535	CDK5	0	0.119	0.017	
Q00536	CDK16	0	0.19	0.016	
Q00537	CDK17	0	0.179	0.016	
Q02156	PRKCE	0	0.142	0.015	
Q02750	MAK	0	0.201	0.018	
Q02763	TEK	0	0.151	0.01	
Q02779	MAP3K1	0	0.131	0.016	
Q03405	PLAUR	0	0.055	0.018	
Q04759	PRKCQ	0	0.164	0.012	
Q04771	ACVR1	0	0.087	0.017	
Q04912	MST1R	0	0.153	0.012	
Q05397	PTK2	0	0.142	0.011	
Q05513	PRKCZ	0	0.146	0.018	
Q05655	PRKCD	0	0.179	0.014	
Q05823	RNASEL	0	0.273	0.013	
Q06187	BTK	0	0.159	0.016	
Q06418	TYRO3	0	0.184	0.012	
Q07002	CDK18	0	0.179	0.017	
Q07912	TNK2	0	0.143	0.019	
Q08345	DDR1	0	0.13	0.012	
Q08881	IRAK4	0	0.194	0.014	
Q09013	DMPK	0	0.202	0.015	
Q12851	MAP4K2	0	0.18	0.021	
Q12852	MAP3K11	0	0.123	0.015	
Q12866	MERTK	0	0.164	0.011	
Q13043	STK4	0	0.184	0.016	
Q13131	PRKAA1	0	0.168	0.018	
Q13153	PAK1	0	0.151	0.016	
Q13163	MAP2K4	0	0.151	0.016	
Q13164	MAPK7	0	0.205	0.015	
Q13177	PAK2	0	0.182	0.016	
Q13188	STK3	0	0.154	0.017	
Q13233	MAP2K7	0	0.145	0.011	
Q13237	PRKG2	0	0.206	0.016	
Q13315	ATM	0	0.167	0.008	
Q13418	IKBKG	0	0.049	0.014	
Q13464	ROCK1	0	0.167	0.013	
Q13470	TNK1	0	0.174	0.014	
Q13523	PRPF4B	0	0.254	0.013	
Q13535	ATR	0	0.202	0.008	
Q13546	RIPK1	0	0.157	0.016	
Q13554	CAMK2B	0	0.176	0.016	
Q13555	CAMK2G	0	0.168	0.02	
Q13557	CAMK2D	0	0.128	0.018	
Q13627	DYRK1A	0	0.197	0.015	
Q13705	ACVR2B	0	0.119	0.016	
Q13873	BMPR2	0	0.117	0.013	
Q13882	PTK6	0	0.213	0.017	
Q13976	PRKG1	0	0.179	0.016	
Q14004	CDK13	0	0.225	0.013	
Q14012	CAMK1	0	0.204	0.02	
Q14164	IKBKB	0	0.158	0.014	
Q14289	PTK2B	0	0.106	0.015	
Q14680	MELK	0	0.177	0.015	
Q15078	CDK5R1	0	0.063	0.02	
Q15118	PDK1	0	0.305	0.021	
Q15119	PDK2	0	0.271	0.019	
Q15120	PDK3	0	0.343	0.021	
Q15139	PRKD1	0	0.194	0.014	
Q15208	STK38	0	0.203	0.015	
Q15303	ERBB3	0	0.105	0.011	
Q15349	RPS6KA2	0	0.233	0.015	
Q15375	EPHA6	0	0.21	0.014	
Q15418	RPS6KA1	0	0.183	0.014	
Q15569	TESK1	0	0.189	0.017	
Q15746	MYLK	0	0.158	0.011	
Q15750	TAB1	0	0.104	0.015	
Q15759	MAPK11	0	0.25	0.019	
Q15831	STK11	0	0.152	0.022	
Q15835	GK	0	0.303	0.015	
Q16288	NTRK3	0	0.126	0.013	
Q16512	PKN1	0	0.146	0.013	
Q16513	PKN2	0	0.207	0.012	
Q16539	MAPK14	0	0.178	0.018	
Q16566	CAMK4	0	0.204	0.023	
Q16584	MAP3K10	0	0.135	0.016	
Q16620	NTRK2	0	0.128	0.012	
Q16644	MAPKAPK3	0	0.225	0.02	
Q16654	PDK4	0	0.509	0.017	
Q16659	MAPK6	0	0.17	0.017	
Q16816	PHKG1	0	0.169	0.016	
Q16832	DDR2	0	0.143	0.014	
Q16854	DGUOK	0	0.497	0.166	
Q16875	PFKFB3	0	0.224	0.015	
Q2M2I8	AAK1	0	0.171	0.014	
Q2TB90	HK1	0	0.239	0.015	
Q32MK0	MYLK3	0	0.187	0.017	
Q52WX2	SBK1	0	0.206	0.026	
Q56UN5	MAP3K15	0	0.153	0.01	
Q59H18	TNNI3K	0	0.188	0.013	
Q5S007	LIMK2	0	0.191	0.01	
Q5TCQ9	LYN	0	0.138	0.011	
Q5VT25	CDC42BPA	0	0.193	0.011	
Q6DT37	CDC42BPG	0	0.194	0.011	
Q6P3R8	NEK5	0	0.18	0.016	
Q6PHR2	ULK3	0	0.206	0.016	
Q6XUX3	DSTYK	0	0.181	0.014	
Q6ZN16	MAP3K14	0	0.146	0.014	
Q7KZI7	MARK2	0	0.16	0.014	
Q7L7X3	TAOK1	0	0.183	0.014	
Q86UE8	TLK2	0	0.224	0.018	
Q86UX6	STK32C	0	0.184	0.019	
Q86V86	PIM3	0	0.198	0.018	
Q86Y07	VRK2	0	0.3	0.018	
Q86YV6	MYLK4	0	0.198	0.021	
Q86Z02	HCK	0	0.191	0.011	
Q8IU85	CAMK1D	0	0.209	0.021	
Q8IVH8	CDKL3	0	0.206	0.014	
Q8IVW4	BRSK2	0	0.183	0.015	
Q8IW41	MAP4K3	0	0.16	0.015	
Q8IWQ3	MAPKAPK5	0	0.194	0.014	
Q8IY84	NIM1K	0	0.177	0.026	
Q8IYT8	ULK2	0	0.221	0.011	
Q8N4C8	MINK1	0	0.165	0.011	
Q8N568	DCLK2	0	0.212	0.013	
Q8N5S9	CAMKK1	0	0.209	0.017	
Q8N752	CSNK1A1L	0	0.205	0.019	
Q8NE63	HIPK3	0	0.266	0.015	
Q8NEB9	PIK3C3	0	0.181	0.015	
Q8NEV4	MYO3A	0	0.128	0.011	
Q8NFD2	ANKK1	0	0.191	0.016	
Q8NG66	NEK11	0	0.251	0.014	
Q8TBX8	PIP4K2C	0	0.19	0.018	
Q8TCT0	CERK	0	0.229	0.017	
Q8TD08	MAPK15	0	0.186	0.018	
Q8TD19	NEK9	0	0.207	0.017	
Q8TDC3	BRSK1	0	0.179	0.014	
Q8TDR2	STK35	0	0.267	0.026	
Q8TDX7	NEK7	0	0.24	0.019	
Q8TF76	GRK7	0	0.169	0.018	
Q8WTQ7	GRK6	0	0.168	0.017	
Q8WU08	STK32A	0	0.193	0.017	
Q8WXR4	MYO3B	0	0.164	0.012	
Q92630	DYRK2	0	0.201	0.014	
Q92772	CDKL2	0	0.241	0.016	
Q92918	MAP4K1	0	0.165	0.014	
Q93100	PHKB	0	0.064	0.011	
Q96BR1	SGK3	0	0.184	0.015	
Q96D53	ADCK4	0	0.219	0.016	
Q96GD4	AURKB	0	0.18	0.021	
Q96KB5	PBK	0	0.183	0.023	
Q96L34	MARK4	0	0.165	0.017	
Q96NX5	CAMK1G	0	0.217	0.021	
Q96PF2	TSSK2	0	0.201	0.017	
Q96PY6	NEK1	0	0.188	0.011	
Q96Q15	SMG1	0	0.221	0.007	
Q96Q40	CDK15	0	0.173	0.015	
Q96RG2	PASK	0	0.197	0.011	
Q96RR4	CAMKK2	0	0.204	0.016	
Q96S53	TESK2	0	0.249	0.019	
Q96SB4	SRPK1	0	0.251	0.014	
Q99558	MAP3K13	0	0.164	0.014	
Q99570	PIK3R4	0	0.224	0.01	
Q99640	PKMYT1	0	0.252	0.016	
Q99683	MAP3K5	0	0.11	0.012	
Q99755	PIP5K1A	0	0.202	0.017	
Q99759	MAP3K2	0	0.221	0.015	
Q99986	VRK1	0	0.16	0.021	
Q9BQI3	EGFR	0	0.086	0.014	
Q9BRS2	RIOK1	0	0.191	0.015	
Q9BUB5	MKNK1	0	0.189	0.016	
Q9BVS4	RIOK2	0	0.191	0.019	
Q9BWU1	CDK19	0	0.181	0.027	
Q9BXA7	TSSK1B	0	0.198	0.018	
Q9BXU1	STK31	0	0.221	0.014	
Q9BYP7	WNK3	0	0.142	0.01	
Q9BYT3	STK33	0	0.212	0.019	
Q9BZL6	PRKD2	0	0.257	0.014	
Q9C098	DCLK3	0	0.225	0.018	
Q9H093	NUAK2	0	0.187	0.014	
Q9H0K1	SIK2	0	0.204	0.015	
Q9H1R3	MYLK2	0	0.186	0.015	
Q9H2G2	SLK	0	0.181	0.012	
Q9H2K8	TAOK3	0	0.161	0.012	
Q9H2X6	HIPK1	0	0.255	0.012	
Q9H3Y6	SRMS	0	0.188	0.016	
Q9H422	HIPK2	0	0.174	0.011	
Q9H4A3	WNK1	0	0.122	0.008	
Q9H4B4	PLK3	0	0.228	0.016	
Q9HAZ1	CLK4	0	0.207	0.015	
Q9HBH9	MKNK2	0	0.208	0.016	
Q9HBY8	SGK2	0	0.202	0.021	
Q9HC98	NEK6	0	0.187	0.024	
Q9HCP0	CSNK1G1	0	0.204	0.019	
Q9NQU5	PAK6	0	0.196	0.015	
Q9NR20	DYRK4	0	0.199	0.015	
Q9NRA0	SPHK2	0	0.178	0.015	
Q9NRH2	SNRK	0	0.209	0.014	
Q9NRM7	LATS1	0	0.18	0.012	
Q9NRP7	STK36	0	0.218	0.012	
Q9NSY1	BMP2K	0	0.251	0.01	
Q9NWT8	AURKAIP1	0	0.279	0.023	
Q9NWZ3	IRAK3	0	0.19	0.018	
Q9NY57	STK32B	0	0.184	0.023	
Q9NYA1	SPHK1	0	0.124	0.017	
Q9NYL2	MLTK	0	0.001	0.016	
Q9NYY3	PLK2	0	0.19	0.014	
Q9NZJ5	EIF2AK2	0	0.16	0.012	
Q9P0L2	MARK1	0	0.147	0.013	
Q9P1W9	PIM2	0	0.217	0.018	
Q9P286	PAK7	0	0.201	0.015	
Q9P289	STK26	0	0.196	0.017	
Q9P2K8	EIF2AK3	0	0.187	0.011	
Q9UBE8	NLK	0	0.222	0.015	
Q9UBF8	PI4KB	0	0.277	0.013	
Q9UBS0	RPS6KB2	0	0.246	0.018	
Q9UBU7	DBF4	0	0.129	0.014	
Q9UEE5	STK17A	0	0.216	0.02	
Q9UEW8	STK39	0	0.166	0.018	
Q9UF33	EPHA5	0	0.163	0.012	
Q9UGI9	PRKAG3	0	0.192	0.017	
Q9UGJ0	PRKAG2	0	0.177	0.018	
Q9UHD2	TBK1	0	0.24	0.012	
Q9UIK4	DAPK2	0	0.223	0.024	
Q9UK32	RPS6KA6	0	0.252	0.015	
Q9UKE5	TNIK	0	0.191	0.011	
Q9UKI8	TLK1	0	0.219	0.02	
Q9UL54	TAOK2	0	0.183	0.011	
Q9UM73	ALK	0	0.148	0.011	
Q9UPE1	SRPK3	0	0.188	0.017	
Q9UPZ9	HUNK	0	0.206	0.015	
Q9UQ88	CDK11A	0	0.287	0.023	
Q9UQB9	AURKC	0	0.181	0.02	
Q9UQM7	CAMK2A	0	0.206	0.019	
Q9Y243	AKT3	0	0.293	0.014	
Q9Y2H1	STK38L	0	0.194	0.017	
Q9Y2H9	MAST1	0	0.207	0.01	
Q9Y2K2	SIK3	0	0.185	0.011	
Q9Y2U5	MAP3K19	0	0.165	0.018	
Q9Y3S1	WNK2	0	0.204	0.009	
Q9Y463	DYRK1B	0	0.193	0.017	
Q9Y478	PRKAB1	0	0.095	0.019	
Q9Y4K4	MAP4K5	0	0.164	0.014	
Q9Y572	RIPK3	0	0.173	0.018	
Q9Y5S2	CDC42BPB	0	0.174	0.01	
Q9Y616	IRAK1	0	0.144	0.015	
Q9Y6E0	STK24	0	0.231	0.017	
Q9Y6K9	IKBKE	0	0.285	0.02	
Q9Y6M4	CSNK1G3	0	0.206	0.018	
Q9Y6R4	MAP3K3	0	0.151	0.01	
